fecha,titulo,periodico,enlace
"lunes, 21 de noviembre de 2022 - 12:00 p.m.",Elenco de la película “Glass Onion” celebra formar parte del misterio,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/peliculas-series/notas/elenco-de-la-pelicula-glass-onion-celebra-formar-parte-del-misterio/
"lunes, 21 de noviembre de 2022 - 11:48 a.m.",Bad Bunny recibe dos premios American Music Awards,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/musica/notas/bad-bunny-recibe-dos-premios-american-music-awards/
"lunes, 21 de noviembre de 2022 - 11:19 a.m.",Salud reporta dos nuevos fallecimientos por COVID-19: 172 personas están hospitalizadas,El Nuevo Dia,https://www.elnuevodia.com/noticias/locales/notas/salud-reporta-dos-nuevos-fallecimientos-por-covid-19-172-personas-estan-hospitalizadas/
"lunes, 21 de noviembre de 2022 - 11:01 a.m.",Acusarán hoy al individuo que agredió y amarró a una octogenaria para robarle en Carolina,El Nuevo Dia,https://www.elnuevodia.com/noticias/seguridad/notas/acusaran-hoy-al-individuo-que-agredio-y-amarro-a-una-octogenaria-para-robarle-en-carolina/
"lunes, 21 de noviembre de 2022 - 11:00 a.m.",Enseñar lectoescritura es su motor de vida,El Nuevo Dia,https://www.elnuevodia.com/entretenimiento/cultura/notas/ensenar-lectoescritura-es-su-motor-de-vida/
"lunes, 21 de noviembre de 2022 - 10:57 a.m.",El sospechoso de la masacre en club LGBTQ+ en Colorado amenazó a su madre con una bomba casera,El Nuevo Dia,https://www.elnuevodia.com/noticias/estados-unidos/notas/el-sospechoso-de-la-masacre-en-club-lgbtq-en-colorado-amenazo-a-su-madre-con-una-bomba-casera/
"lunes, 21 de noviembre de 2022 - 10:30 a.m.",Al menos 55 personas mueren y “alrededor de 700″ resultan heridas tras un terremoto en Indonesia,El Nuevo Dia,https://www.elnuevodia.com/noticias/mundo/notas/al-menos-55-personas-mueren-y-alrededor-de-700-resultan-heridas-tras-un-terremoto-en-indonesia/
"lunes, 21 de noviembre de 2022 - 10:00 a.m.",Descubren las bases moleculares de la resistencia a un fármaco contra el mieloma,El Nuevo Dia,https://www.elnuevodia.com/estilos-de-vida/salud/notas/descubren-las-bases-moleculares-de-la-resistencia-a-un-farmaco-contra-el-mieloma/
"lunes, 21 de noviembre de 2022 - 5:00 a.m.",El capítulo más trágico del éxodo venezolano,El Nuevo Dia,https://www.elnuevodia.com/opinion/editorial/el-capitulo-mas-tragico-del-exodo-venezolano/
"lunes, 21 de noviembre de 2022 - 5:00 a.m.",La actitud de medio pocillo,El Nuevo Dia,https://www.elnuevodia.com/opinion/punto-de-vista/la-actitud-de-medio-pocillo/
